geo,AT,AT,BE,BE,BG,BG,CH,CH,CY,CY,CZ,CZ,DE,DE,DK,DK,EE,EE,EL,EL,ES,ES,EU27_2020,EU27_2020,FI,FI,FR,FR,HR,HR,HU,HU,IE,IE,IS,IS,IT,IT,LT,LT,LU,LU,LV,LV,ME,ME,MK,MK,MT,MT,NL,NL,NO,NO,PL,PL,PT,PT,RO,RO,RS,RS,SE,SE,SI,SI,SK,SK,TR,TR,UK,UK
sex,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M
2009 ,18.8,81.2,18.3,81.7,30.6,69.4,0.0,0.0,15.5,84.5,23.5,76.5,20.1,79.9,22.4,77.6,40.0,60.0,37.4,62.6,22.7,77.3,22.9,77.1,24.6,75.4,22.3,77.7,20.8,79.2,36.0,64.0,32.6,67.4,0.0,0.0,17.3,82.7,34.6,65.4,15.3,84.7,30.0,70.0,0.0,0.0,0.0,0.0,24.1,75.9,15.4,84.6,0.0,0.0,30.3,69.7,25.3,74.7,32.3,67.7,0.0,0.0,21.2,78.8,24.1,75.9,32.5,67.5,0.0,0.0,0.0,0.0
2010 ,19.1,80.9,19.1,80.9,31.1,68.9,0.0,0.0,18.2,81.8,21.3,78.7,19.5,80.5,22.3,77.7,39.3,60.7,36.5,63.5,22.7,77.3,22.5,77.5,23.7,76.3,22.2,77.8,23.1,76.9,38.4,61.6,31.4,68.6,0.0,0.0,16.7,83.3,32.4,67.6,13.7,86.3,29.8,70.2,0.0,0.0,0.0,0.0,28.4,71.6,14.6,85.4,0.0,0.0,29.8,70.2,28.6,71.4,29.3,70.7,0.0,0.0,20.9,79.1,25.5,74.5,34.8,65.2,0.0,0.0,0.0,0.0
2011 ,13.2,86.8,16.6,83.4,32.5,67.5,12.6,87.4,21.3,78.7,10.6,89.4,16.5,83.5,19.5,80.5,23.8,76.2,19.0,81.0,20.2,79.8,17.0,83.0,19.1,80.9,19.6,80.4,14.2,85.8,9.5,90.5,24.2,75.8,17.1,82.9,14.6,85.4,0.0,80.5,12.7,87.3,24.0,76.0,0.0,81.1,23.8,76.2,17.0,83.0,12.9,87.1,16.6,83.4,14.2,85.8,18.9,81.1,21.7,78.3,0.0,0.0,19.0,81.0,15.8,84.2,17.5,82.5,14.3,85.7,17.9,82.1
2012 ,16.8,83.2,17.1,82.9,31.9,68.1,13.3,86.7,19.7,80.3,11.0,89.0,15.2,84.8,19.0,81.0,26.2,73.8,21.3,78.7,19.6,80.4,17.1,82.9,20.0,80.0,20.1,79.9,15.5,84.5,10.8,89.2,23.0,77.0,19.2,80.8,16.1,83.9,22.9,77.1,10.1,89.9,21.1,78.9,33.0,67.0,24.5,75.5,10.4,89.6,13.1,86.9,16.1,83.9,16.1,83.9,14.9,85.1,21.3,78.7,0.0,0.0,19.4,80.6,14.2,85.8,13.4,86.6,14.4,85.6,17.4,82.6
2013 ,14.2,85.8,15.5,84.5,29.3,70.7,14.2,85.8,17.3,82.7,10.6,89.4,15.6,84.4,18.4,81.6,20.8,79.2,20.6,79.4,19.8,80.2,16.7,83.3,20.7,79.3,19.5,80.5,18.1,81.9,10.4,89.6,23.3,76.7,17.9,82.1,14.3,85.7,18.0,82.0,12.0,88.0,22.2,77.8,27.1,72.9,26.9,73.1,13.9,86.1,14.3,85.7,16.0,84.0,14.3,85.7,13.8,86.2,23.5,76.5,18.5,81.5,19.6,80.4,12.7,87.3,9.0,91.0,14.7,85.3,15.8,84.2
2014 ,13.4,86.6,15.2,84.8,31.2,68.8,13.8,86.2,16.5,83.5,9.9,90.1,16.5,83.5,17.4,82.6,19.4,80.6,19.7,80.3,18.7,81.3,16.2,83.8,20.8,79.2,16.9,83.1,14.7,85.3,11.7,88.3,21.1,78.9,20.5,79.5,14.1,85.9,17.0,83.0,11.6,88.4,24.8,75.2,0.0,83.1,28.7,71.3,15.2,84.8,13.2,86.8,16.6,83.4,14.0,86.0,15.2,84.8,21.5,78.5,15.1,84.9,19.1,80.9,13.6,86.4,12.0,88.0,14.5,85.5,16.5,83.5
2015 ,14.3,85.7,15.1,84.9,30.7,69.3,14.2,85.8,20.8,79.2,9.8,90.2,16.3,83.7,19.7,80.3,20.9,79.1,15.7,84.3,18.8,81.2,16.5,83.5,22.3,77.7,15.8,84.2,17.2,82.8,12.0,88.0,20.1,79.9,23.0,77.0,14.7,85.3,20.8,79.2,13.5,86.5,26.4,73.6,0.0,84.1,21.9,78.1,17.0,83.0,13.9,86.1,18.8,81.2,13.6,86.4,18.2,81.8,27.3,72.7,17.2,82.8,18.9,81.1,16.2,83.8,11.9,88.1,13.8,86.2,17.2,82.8
2016 ,17.1,82.9,14.1,85.9,28.9,71.1,15.0,85.0,23.8,76.2,10.0,90.0,16.6,83.4,20.2,79.8,19.8,80.2,16.0,84.0,17.6,82.4,17.0,83.0,21.0,79.0,17.6,82.4,13.8,86.2,13.2,86.8,21.5,78.5,21.9,78.1,15.3,84.7,25.3,74.7,12.5,87.5,25.8,74.2,0.0,87.3,27.5,72.5,12.3,87.7,15.0,85.0,17.3,82.7,14.6,85.4,18.3,81.7,26.3,73.7,20.9,79.1,20.8,79.2,17.3,82.7,9.7,90.3,13.2,86.8,16.5,83.5
2017 ,15.7,84.3,15.6,84.4,29.0,71.0,15.2,84.8,18.3,81.7,10.1,89.9,16.6,83.4,19.4,80.6,19.6,80.4,15.2,84.8,16.7,83.3,17.2,82.8,20.4,79.6,18.5,81.5,14.5,85.5,9.0,91.0,21.1,78.9,17.0,83.0,16.1,83.9,26.2,73.8,11.3,88.7,24.5,75.5,29.2,70.8,27.2,72.8,10.8,89.2,16.3,83.7,18.7,81.3,14.8,85.2,17.7,82.3,25.7,74.3,22.3,77.7,20.9,79.1,16.5,83.5,14.4,85.6,13.8,86.2,17.6,82.4
2018 ,18.4,81.6,16.8,83.2,29.9,70.1,14.5,85.5,18.8,81.2,9.7,90.3,16.8,83.2,19.6,80.4,21.8,78.2,15.5,84.5,17.8,82.2,17.2,82.8,19.9,80.1,19.3,80.7,18.2,81.8,8.6,91.4,18.6,81.4,16.9,83.1,15.1,84.9,26.1,73.9,13.5,86.5,19.3,80.7,27.1,72.9,24.6,75.4,17.7,82.3,15.9,84.1,22.1,77.9,14.0,86.0,18.0,82.0,23.7,76.3,19.4,80.6,20.9,79.1,16.6,83.4,13.1,86.9,14.6,85.4,17.0,83.0
2019 ,20.4,79.6,17.2,82.8,28.1,71.9,16.6,83.4,19.1,80.9,10.2,89.8,16.8,83.2,21.1,78.9,22.8,77.2,20.2,79.8,19.7,80.3,17.9,82.1,21.1,78.9,19.6,80.4,20.5,79.5,10.6,89.4,21.4,78.6,19.2,80.8,15.1,84.9,24.4,75.6,15.5,84.5,23.9,76.1,0.0,76.0,24.8,75.2,10.9,89.1,17.3,82.7,20.6,79.4,14.4,85.6,18.3,81.7,23.5,76.5,21.6,78.4,20.5,79.5,19.5,80.5,14.0,86.0,13.0,87.0,17.1,82.9
