,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,EU27_2020,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
2009 ,51.4,39.3,34.4,57.1,18.9,39.5,45.4,26.2,49.6,44.4,38.1,41.9,30.9,41.6,30.1,54.9,48.1,36.4,40.6,44.9,26.1,64.3,,28.7,28.0,37.9,83.3,37.2,37.6,34.6,,35.6,44.2,33.2,18.2,44.3
2010 ,31.1,46.1,36.4,68.9,20.9,60.0,48.4,25.6,43.4,31.2,43.0,42.0,34.0,42.6,28.2,37.9,50.0,42.4,36.4,48.6,27.9,50.0,,29.7,30.4,34.9,75.0,39.1,39.7,35.4,38.4,55.6,41.8,37.0,16.4,41.2
2011 ,31.2,38.8,42.3,45.2,18.8,38.9,50.3,30.4,49.5,26.0,37.5,42.0,34.8,45.5,32.2,46.6,54.5,47.6,29.5,43.5,38.5,52.1,36.1,30.1,35.1,39.5,38.9,46.3,39.7,35.5,,57.1,42.5,35.7,18.3,37.0
2012 ,37.5,43.3,38.8,52.9,20.6,38.9,33.5,34.2,44.9,29.6,54.7,37.8,32.5,44.3,30.1,41.2,38.8,47.7,27.3,43.2,20.0,51.0,40.0,26.5,33.3,42.5,34.8,39.2,42.0,33.8,,36.7,42.9,37.3,18.4,43.5
2013 ,32.0,34.8,39.8,53.2,27.8,34.5,39.3,27.7,40.5,29.7,38.8,37.5,30.4,40.4,28.2,45.4,40.2,42.6,31.9,42.5,17.6,45.3,29.5,28.9,34.6,39.3,52.2,39.4,41.4,32.2,36.3,37.7,39.5,35.0,23.2,44.9
2014 ,35.3,43.9,39.7,51.1,27.0,52.9,37.9,31.6,42.5,31.0,38.4,39.3,39.5,47.3,26.5,45.8,45.7,40.2,33.8,40.9,30.0,49.6,37.0,35.9,33.8,44.2,45.5,42.4,44.2,33.5,36.6,38.6,42.1,33.2,25.2,48.1
2015 ,37.0,50.8,38.9,45.7,34.3,52.4,37.8,28.8,41.4,27.1,38.9,40.2,36.6,44.1,29.4,50.7,47.8,42.9,30.1,41.8,25.0,54.8,29.2,29.2,32.1,45.3,47.5,45.2,40.4,35.0,32.7,41.4,40.0,34.6,21.6,45.0
2016 ,38.9,47.9,42.4,57.8,33.3,53.8,43.4,34.1,52.0,26.8,38.7,43.8,35.4,36.3,38.8,50.1,43.0,38.5,47.6,91.7,38.9,56.2,32.6,29.2,36.0,41.3,62.8,54.8,45.0,37.7,33.5,42.2,43.8,36.5,18.7,41.7
2017 ,37.7,41.4,42.0,48.9,26.3,29.1,40.8,29.9,47.1,31.9,61.1,40.3,32.8,60.0,31.9,47.4,45.8,39.1,43.9,45.8,20.4,54.6,29.5,27.6,36.4,38.0,46.8,52.2,40.9,37.1,34.9,40.7,48.4,34.4,21.1,41.2
2018 ,36.0,48.1,40.8,45.0,18.9,31.0,39.3,29.1,45.2,27.9,37.8,38.7,33.0,39.9,34.1,50.9,46.8,46.2,30.9,42.6,41.2,56.5,38.2,28.6,35.4,40.6,40.7,50.0,43.3,33.6,35.1,39.8,50.0,34.6,20.7,45.1
2019 ,38.9,37.7,41.9,43.6,25.6,50.0,38.8,33.0,57.1,34.9,37.6,39.7,37.3,39.4,28.6,46.2,41.7,47.6,31.4,46.6,30.8,54.4,43.8,29.0,32.2,39.3,38.5,64.4,44.6,35.6,35.4,42.4,48.0,35.3,20.5,42.2
